message_id,action,message_type,reason,confidence,evidence_message_ids
msg_106,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.88,message_0234
msg_006,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.90,message_0029
msg_109,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.86,message_0151
msg_108,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.86,message_0094
msg_019,mute,scam,The sender is imitating a known brand from a domain that brand does not own.,0.87,message_0277
msg_088,mute,personal,"Similar historical messages were ignored, dismissed, or muted by this user.",0.86,message_0224;message_0232
msg_056,notify,event,The sender directly asks this user for a response or action.,0.88,message_0168
msg_027,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.78,message_0007
msg_050,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.84,message_0279
msg_083,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0219
msg_063,mute,scam,"The user has reported messages like this one before, and it uses payment pressure to force an immediate action.",0.87,message_0182
msg_033,digest,greeting,The message is a harmless greeting that can be read later.,0.82,message_0121
msg_061,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.86,message_0042;message_0177
msg_020,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.83,message_0096
msg_017,mute,scam,"The user has reported messages like this one before, and it uses payment pressure to force an immediate action.",0.87,message_0090
msg_058,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.86,message_0039;message_0241
msg_026,mute,scam,The sender is imitating a known brand from a domain that brand does not own.,0.87,message_0032
msg_047,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.90,message_0149
msg_046,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.83,message_0148
msg_042,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.90,message_0140
msg_079,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.83,message_0369
msg_098,notify,event,The sender directly asks this user for a response or action.,0.88,message_0359
msg_037,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.90,message_0130
msg_007,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0070
msg_085,mute,scam,The sender is imitating a known brand from a domain that brand does not own.,0.86,message_0221
msg_001,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.90,message_0240
msg_021,notify,payment,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.90,message_0068
msg_028,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.83,message_0034;message_0112
msg_012,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.86,message_0079;message_0247
msg_064,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.83,message_0087
msg_103,notify,personal,The sender directly asks this user for a response or action.,0.88,message_0065
msg_031,notify,event,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.90,message_0117
msg_057,notify,personal,The message is from a work context and contains a direct deadline or meeting dependency.,0.87,message_0003
msg_087,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.83,message_0358;message_0223
msg_067,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.90,message_0068
msg_039,notify,event,The sender directly asks this user for a response or action.,0.88,message_0364
msg_082,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.90,message_0218
msg_066,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.83,message_0257;message_0402
msg_049,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.84,message_0154
msg_015,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.83,message_0085
msg_051,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.83,message_0257;message_0402
msg_097,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0054
msg_089,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.82,none
msg_053,digest,forward,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0253
msg_059,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.82,message_0174
msg_024,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.83,message_0257;message_0402
msg_072,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.83,message_0085
msg_036,mute,scam,The sender is imitating a known brand from a domain that brand does not own.,0.87,message_0283
msg_076,mute,scam,The sender is imitating a known brand from a domain that brand does not own.,0.87,message_0207
msg_055,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.88,message_0166
msg_102,notify,personal,The sender directly asks this user for a response or action.,0.88,message_0230
msg_080,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.90,message_0067
msg_093,digest,event,The verified business message is legitimate but does not require immediate attention.,0.84,none
msg_034,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.86,message_0013;message_0077
msg_035,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.84,message_0281
msg_101,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0229
msg_041,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.78,message_0137
msg_011,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.86,message_0077;message_0123
msg_110,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.86,message_0238
msg_095,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.86,message_0024
msg_074,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.83,message_0203;message_0204
msg_073,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.83,message_0088
msg_054,mute,payment,"Similar historical messages were ignored, dismissed, or muted by this user.",0.86,message_0163;message_0164
msg_068,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0191
msg_100,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.87,message_0362
msg_062,digest,forward,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0043
msg_096,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.82,none
msg_043,notify,forward,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.90,message_0130
msg_077,digest,event,"The message is worth seeing, but it arrived inside the user's do not disturb window, so it waits for the digest.",0.81,message_0051
msg_081,notify,urgent,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,message_0217
msg_025,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0004
msg_084,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.82,message_0220;message_0388
msg_022,mute,urgent,"Similar historical messages were ignored, dismissed, or muted by this user.",0.86,message_0099;message_0151
